Title,Sample Code,Type,ID,Provider,Tags,License
"Gridded Population of the World, Version 4 (GPWv4): Administrative Unit Center Points with Population Estimates",https://code.earthengine.google.com/?scriptPath=users/sat-io/awesome-gee-catalog-examples:population-socioeconomics/GPW-v4,table,projects/sat-io/open-datasets/sedac/gpw-v4-admin-unit-center-points-population-estimates-rev11,"NASA Socioeconomic Data and Applications Center (SEDAC), Center for International Earth Science Information Network (CIESIN)","census geography, GPWv4, gridded population, uniform distribution, CIESIN, SEDAC",Creative Commons Attribution 4.0 International
Gridded precipitation dataset for Peruvian and Ecuadorian watersheds: Annual mean,https://code.earthengine.google.com/?scriptPath=users/sat-io/awesome-gee-catalog-examples:hydrology/RAIN4PE-GRIDDED-PRECIP-YEARLY,image_collection,users/csaybar/rainpe/annual_mean,"Fernandez-Palomino et al 2021, Cesar Aybar","precipitation, streamflow, Peru, Ecuador, random forest, SWAT, reverse hydrology, satellite data, Earth observation, GIS",Creative Commons Attribution 4.0 International
Gridded precipitation dataset for Peruvian and Ecuadorian watersheds: Daily data,https://code.earthengine.google.com/?scriptPath=users/sat-io/awesome-gee-catalog-examples:hydrology/RAIN4PE-GRIDDED-PRECIP-DAILY,image_collection,projects/sat-io/open-datasets/rainpe/daily,"Fernandez-Palomino et al 2021, Cesar Aybar","precipitation, streamflow, Peru, Ecuador, random forest, SWAT, reverse hydrology, satellite data, Earth observation, GIS",Creative Commons Attribution 4.0 International
Gridded precipitation dataset for Peruvian and Ecuadorian watersheds: Monthly Climatology,https://code.earthengine.google.com/?scriptPath=users/sat-io/awesome-gee-catalog-examples:hydrology/RAIN4PE-GRIDDED-PRECIP-MONTHLY-CLIM,image_collection,users/csaybar/rainpe/monthly_clim,"Fernandez-Palomino et al 2021, Cesar Aybar","precipitation, streamflow, Peru, Ecuador, random forest, SWAT, reverse hydrology, satellite data, Earth observation, GIS",Creative Commons Attribution 4.0 International
Gridded precipitation dataset for Peruvian and Ecuadorian watersheds: Monthly data,https://code.earthengine.google.com/?scriptPath=users/sat-io/awesome-gee-catalog-examples:hydrology/RAIN4PE-GRIDDED-PRECIP-MONTHLY,image_collection,users/csaybar/rainpe/monthly,"Fernandez-Palomino et al 2021, Cesar Aybar","precipitation, streamflow, Peru, Ecuador, random forest, SWAT, reverse hydrology, satellite data, Earth observation, GIS",Creative Commons Attribution 4.0 International
Gridded Sex-Disaggregated School-Age Population: Female Primary,https://code.earthengine.google.com/?scriptPath=users/sat-io/awesome-gee-catalog-examples:population-socioeconomics/WORLDPOP-GRIDDED-SCHOOL-AGE,image_collection,projects/sat-io/open-datasets/worldpop/africa_F_PRIMARY,WorldPop (University of Southampton),"gridded model, population data, school age, disaggregated, worldpop",Creative Commons Attribution 4.0 International
Gridded Sex-Disaggregated School-Age Population: Female Secondary,https://code.earthengine.google.com/?scriptPath=users/sat-io/awesome-gee-catalog-examples:population-socioeconomics/WORLDPOP-GRIDDED-SCHOOL-AGE,image_collection,projects/sat-io/open-datasets/worldpop/africa_F_secondary,WorldPop (University of Southampton),"gridded model, population data, school age, disaggregated, worldpop",Creative Commons Attribution 4.0 International
Gridded Sex-Disaggregated School-Age Population: Female-Male Primary,https://code.earthengine.google.com/?scriptPath=users/sat-io/awesome-gee-catalog-examples:population-socioeconomics/WORLDPOP-GRIDDED-SCHOOL-AGE,image_collection,projects/sat-io/open-datasets/worldpop/africa_F_M_PRIMARY,WorldPop (University of Southampton),"gridded model, population data, school age, disaggregated, worldpop",Creative Commons Attribution 4.0 International
Gridded Sex-Disaggregated School-Age Population: Female-Male Secondary,https://code.earthengine.google.com/?scriptPath=users/sat-io/awesome-gee-catalog-examples:population-socioeconomics/WORLDPOP-GRIDDED-SCHOOL-AGE,image_collection,projects/sat-io/open-datasets/worldpop/africa_F_M_SECONDARY,WorldPop (University of Southampton),"gridded model, population data, school age, disaggregated, worldpop",Creative Commons Attribution 4.0 International
Gridded Sex-Disaggregated School-Age Population: Male Primary,https://code.earthengine.google.com/?scriptPath=users/sat-io/awesome-gee-catalog-examples:population-socioeconomics/WORLDPOP-GRIDDED-SCHOOL-AGE,image_collection,projects/sat-io/open-datasets/worldpop/africa_M_PRIMARY,WorldPop (University of Southampton),"gridded model, population data, school age, disaggregated, worldpop",Creative Commons Attribution 4.0 International
Gridded Sex-Disaggregated School-Age Population: Male Secondary,https://code.earthengine.google.com/?scriptPath=users/sat-io/awesome-gee-catalog-examples:population-socioeconomics/WORLDPOP-GRIDDED-SCHOOL-AGE,image_collection,projects/sat-io/open-datasets/worldpop/africa_M_secondary,WorldPop (University of Southampton),"gridded model, population data, school age, disaggregated, worldpop",Creative Commons Attribution 4.0 International
GRIP4: Africa,https://code.earthengine.google.com/?scriptPath=users/sat-io/awesome-gee-catalog-examples:global-utilities-assets-amenities/GLOBAL-ROADS-INVENTORY-PROJECT,table,projects/sat-io/open-datasets/GRIP4/Africa,"Global Biodiversity Model for Policy Support, GLOBIO, PBL Netherlands Environmental Assessment Agency","global, road map, infrastructure, global roads inventory project (GRIP), SSP scenarios",Creative Commons Attribution 4.0 International
GRIP4: Central and South America,https://code.earthengine.google.com/?scriptPath=users/sat-io/awesome-gee-catalog-examples:global-utilities-assets-amenities/GLOBAL-ROADS-INVENTORY-PROJECT,table,projects/sat-io/open-datasets/GRIP4/Central-South-America,"Global Biodiversity Model for Policy Support, GLOBIO, PBL Netherlands Environmental Assessment Agency","global, road map, infrastructure, global roads inventory project (GRIP), SSP scenarios",Creative Commons Attribution 4.0 International
GRIP4: Europe,https://code.earthengine.google.com/?scriptPath=users/sat-io/awesome-gee-catalog-examples:global-utilities-assets-amenities/GLOBAL-ROADS-INVENTORY-PROJECT,table,projects/sat-io/open-datasets/GRIP4/Europe,"Global Biodiversity Model for Policy Support, GLOBIO, PBL Netherlands Environmental Assessment Agency","global, road map, infrastructure, global roads inventory project (GRIP), SSP scenarios",Creative Commons Attribution 4.0 International
GRIP4: Middle East and Central Asia,https://code.earthengine.google.com/?scriptPath=users/sat-io/awesome-gee-catalog-examples:global-utilities-assets-amenities/GLOBAL-ROADS-INVENTORY-PROJECT,table,projects/sat-io/open-datasets/GRIP4/Middle-East-Central-Asia,"Global Biodiversity Model for Policy Support, GLOBIO, PBL Netherlands Environmental Assessment Agency","global, road map, infrastructure, global roads inventory project (GRIP), SSP scenarios",Creative Commons Attribution 4.0 International
GRIP4: North America,https://code.earthengine.google.com/?scriptPath=users/sat-io/awesome-gee-catalog-examples:global-utilities-assets-amenities/GLOBAL-ROADS-INVENTORY-PROJECT,table,projects/sat-io/open-datasets/GRIP4/North-America,"Global Biodiversity Model for Policy Support, GLOBIO, PBL Netherlands Environmental Assessment Agency","global, road map, infrastructure, global roads inventory project (GRIP), SSP scenarios",Creative Commons Attribution 4.0 International
GRIP4: Oceania,https://code.earthengine.google.com/?scriptPath=users/sat-io/awesome-gee-catalog-examples:global-utilities-assets-amenities/GLOBAL-ROADS-INVENTORY-PROJECT,table,projects/sat-io/open-datasets/GRIP4/Oceania,"Global Biodiversity Model for Policy Support, GLOBIO, PBL Netherlands Environmental Assessment Agency","global, road map, infrastructure, global roads inventory project (GRIP), SSP scenarios",Creative Commons Attribution 4.0 International
GRIP4: South East Asia,https://code.earthengine.google.com/?scriptPath=users/sat-io/awesome-gee-catalog-examples:global-utilities-assets-amenities/GLOBAL-ROADS-INVENTORY-PROJECT,table,projects/sat-io/open-datasets/GRIP4/South-East-Asia,"Global Biodiversity Model for Policy Support, GLOBIO, PBL Netherlands Environmental Assessment Agency","global, road map, infrastructure, global roads inventory project (GRIP), SSP scenarios",Creative Commons Attribution 4.0 International
Harmonised global datasets of solar farm locations,https://code.earthengine.google.com/?scriptPath=users/sat-io/awesome-gee-catalog-examples:global-utilities-assets-amenities/HARMONIZED-WIND-SOLAR-FARMS,table,projects/sat-io/open-datasets/global_solar_farms_2020,Dunnett et al.,"solar, wind, energy, renewable",Open Data Commons Open Database License v1.0
Harmonised global datasets of wind farm locations,https://code.earthengine.google.com/?scriptPath=users/sat-io/awesome-gee-catalog-examples:global-utilities-assets-amenities/HARMONIZED-WIND-SOLAR-FARMS,table,projects/sat-io/open-datasets/global_wind_farms_2020,Dunnett et al.,"solar, wind, energy, renewable",Open Data Commons Open Database License v1.0
Harmonized Global Critical Infrastructure 2021,https://code.earthengine.google.com/?scriptPath=users/sat-io/awesome-gee-catalog-examples:population-socioeconomics/CRITICAL-INF-SPATIAL-INDEX(CISI),image_collection,projects/sat-io/open-datasets/CISI/amount_infrastructure,"Nirandjan, S., Koks, E.E., Ward, P.J. et al","Development indicator, global spatial data, gridded data, critical infrastructure, spatial index",Creative Commons Attribution 4.0 International
Harmonized Global Night Time Lights (1992-2021): DMSP,https://code.earthengine.google.com/?scriptPath=users/sat-io/awesome-gee-catalog-examples:global-utilities-assets-amenities/HARMONIZED-GLOBAL-NTL,image_collection,projects/sat-io/open-datasets/Harmonized_NTL/dmsp,Xuecao Li et al,"DMSP/OLS data, VIIRS, nighttime light, calibration, consistent, global",Creative Commons Attribution 4.0 International
Harmonized Global Night Time Lights (1992-2021): VIIRS,https://code.earthengine.google.com/?scriptPath=users/sat-io/awesome-gee-catalog-examples:global-utilities-assets-amenities/HARMONIZED-GLOBAL-NTL,image_collection,projects/sat-io/open-datasets/Harmonized_NTL/viirs,Xuecao Li et al,"DMSP/OLS data, VIIRS, nighttime light, calibration, consistent, global",Creative Commons Attribution 4.0 International
Harmonized World Soil Database (HWSD) version 2.0,https://code.earthengine.google.com/?scriptPath=users/sat-io/awesome-gee-catalog-examples:soil-properties/HWSD-V2-SMU,image,projects/sat-io/open-datasets/FAO/HWSD_V2_SMU,FAO & IIASA,"Soil, World Soil properties, Texture, USDA, FAO, IIASA",Creative Commons Attribution Non Commercial Share Alike 4.0 International
Herbaceous Vegetation avg- Global Freshwater Variables,https://code.earthengine.google.com/?scriptPath=users/sat-io/awesome-gee-catalog-examples:biodiversity-ecosystems-habitat/GLOBAL-FRESHWATER-VARIABLES,image,projects/sat-io/open-datasets/global_freshwater_variables/herbaceous_vegetation_avg,"Domisch, S., Amatulli, G., and Jetz, W.","Evergreen Deciduous Needleleaf Trees avg, EarthEnv, global freshwater",Creative Commons Attribution Non Commercial Share Alike 4.0 International
Herbaceous vegetation- Global Consensus Landcover,https://code.earthengine.google.com/?scriptPath=users/sat-io/awesome-gee-catalog-examples:biodiversity-ecosystems-habitat/GLOBAL-CONSENSUS-LANDCOVER,image,projects/sat-io/open-datasets/global_consensus_landcover/herbaceous_vegetation,"Domisch, S., Amatulli, G., and Jetz, W.","Herbaceous vegetation, EarthEnv, Global Consensus Landcover",Creative Commons Attribution Non Commercial Share Alike 4.0 International
High Precision Single Country Globally Standardized(HPSCGS)- ADM0,https://code.earthengine.google.com/?scriptPath=users/sat-io/awesome-gee-catalog-examples:population-socioeconomics/GEOBOUNDARIES,table,projects/earthengine-legacy/assets/projects/sat-io/open-datasets/geoboundaries/HPSCGS-ADM0,William & Mary geoLab,"Metadata, Political Geography, Open Data, Built Structures, Physical Mapping",Creative Commons Attribution 4.0 International
High Precision Single Country Globally Standardized(HPSCGS)- ADM1,https://code.earthengine.google.com/?scriptPath=users/sat-io/awesome-gee-catalog-examples:population-socioeconomics/GEOBOUNDARIES,table,projects/earthengine-legacy/assets/projects/sat-io/open-datasets/geoboundaries/HPSCGS-ADM1,William & Mary geoLab,"Metadata, Political Geography, Open Data, Built Structures, Physical Mapping",Creative Commons Attribution 4.0 International
High Precision Single Country Globally Standardized(HPSCGS)- ADM2,https://code.earthengine.google.com/?scriptPath=users/sat-io/awesome-gee-catalog-examples:population-socioeconomics/GEOBOUNDARIES,table,projects/earthengine-legacy/assets/projects/sat-io/open-datasets/geoboundaries/HPSCGS-ADM2,William & Mary geoLab,"Metadata, Political Geography, Open Data, Built Structures, Physical Mapping",Creative Commons Attribution 4.0 International
High Precision Single Country Globally Standardized(HPSCGS)- ADM3,https://code.earthengine.google.com/?scriptPath=users/sat-io/awesome-gee-catalog-examples:population-socioeconomics/GEOBOUNDARIES,table,projects/earthengine-legacy/assets/projects/sat-io/open-datasets/geoboundaries/HPSCGS-ADM3,William & Mary geoLab,"Metadata, Political Geography, Open Data, Built Structures, Physical Mapping",Creative Commons Attribution 4.0 International
High Precision Single Country Globally Standardized(HPSCGS)- ADM4,https://code.earthengine.google.com/?scriptPath=users/sat-io/awesome-gee-catalog-examples:population-socioeconomics/GEOBOUNDARIES,table,projects/earthengine-legacy/assets/projects/sat-io/open-datasets/geoboundaries/HPSCGS-ADM4,William & Mary geoLab,"Metadata, Political Geography, Open Data, Built Structures, Physical Mapping",Creative Commons Attribution 4.0 International
High Precision Single Country Unstandardized(HPSCU)- ADM0,https://code.earthengine.google.com/?scriptPath=users/sat-io/awesome-gee-catalog-examples:population-socioeconomics/GEOBOUNDARIES,table,projects/earthengine-legacy/assets/projects/sat-io/open-datasets/geoboundaries/HPSCU-ADM0,William & Mary geoLab,"Metadata, Political Geography, Open Data, Built Structures, Physical Mapping",Creative Commons Attribution 4.0 International
High Precision Single Country Unstandardized(HPSCU)- ADM1,https://code.earthengine.google.com/?scriptPath=users/sat-io/awesome-gee-catalog-examples:population-socioeconomics/GEOBOUNDARIES,table,projects/earthengine-legacy/assets/projects/sat-io/open-datasets/geoboundaries/HPSCU-ADM1,William & Mary geoLab,"Metadata, Political Geography, Open Data, Built Structures, Physical Mapping",Creative Commons Attribution 4.0 International
High Precision Single Country Unstandardized(HPSCU)- ADM2,https://code.earthengine.google.com/?scriptPath=users/sat-io/awesome-gee-catalog-examples:population-socioeconomics/GEOBOUNDARIES,table,projects/earthengine-legacy/assets/projects/sat-io/open-datasets/geoboundaries/HPSCU-ADM2,William & Mary geoLab,"Metadata, Political Geography, Open Data, Built Structures, Physical Mapping",Creative Commons Attribution 4.0 International
High Precision Single Country Unstandardized(HPSCU)- ADM3,https://code.earthengine.google.com/?scriptPath=users/sat-io/awesome-gee-catalog-examples:population-socioeconomics/GEOBOUNDARIES,table,projects/earthengine-legacy/assets/projects/sat-io/open-datasets/geoboundaries/HPSCU-ADM3,William & Mary geoLab,"Metadata, Political Geography, Open Data, Built Structures, Physical Mapping",Creative Commons Attribution 4.0 International
High Precision Single Country Unstandardized(HPSCU)- ADM4,https://code.earthengine.google.com/?scriptPath=users/sat-io/awesome-gee-catalog-examples:population-socioeconomics/GEOBOUNDARIES,table,projects/earthengine-legacy/assets/projects/sat-io/open-datasets/geoboundaries/HPSCU-ADM4,William & Mary geoLab,"Metadata, Political Geography, Open Data, Built Structures, Physical Mapping",Creative Commons Attribution 4.0 International
High Resolution Deterministic Precipitation Analysis (HRDPA),https://code.earthengine.google.com/?scriptPath=users/sat-io/awesome-gee-catalog-examples:/weather-climate/CE-HRDPA-DAILY,image_collection,projects/climate-engine-pro/assets/ce-hrdpa-daily,Environment and Climate Change Canada,"precipitation, Canada, near real-time, daily, climate",Open Government Licence - Canada
High Resolution Deterministic Prediction System (HRDPS) Daily,https://code.earthengine.google.com/?scriptPath=users/sat-io/awesome-gee-catalog-examples:/weather-climate/CE-HRDPS-DAILY,image_collection,projects/climate-engine-pro/assets/ce-hrdps-daily,Environment and Climate Change Canada,"climate, temperature, daily, Canada, near real-time",Open Government Licence - Canada
High Resolution Settlement Layer: Children under five,https://code.earthengine.google.com/?scriptPath=users/sat-io/awesome-gee-catalog-examples:population-socioeconomics/FACEBOOK-HRSL-30m,image_collection,projects/sat-io/open-datasets/hrsl/hrsl_children_under_five,"Center for International Earth Science Information Network(CIESIN), Facebook","High Resolution Settlement Layer, Facebook, population, CIESIN, humanitarian, children",Creative Commons Attribution 4.0 International
High Resolution Settlement Layer: Elderly over sixty,https://code.earthengine.google.com/?scriptPath=users/sat-io/awesome-gee-catalog-examples:population-socioeconomics/FACEBOOK-HRSL-30m,image_collection,projects/sat-io/open-datasets/hrsl/hrsl_elderly_over_sixty,"Center for International Earth Science Information Network(CIESIN), Facebook","High Resolution Settlement Layer, Facebook, population, CIESIN, humanitarian, elderly",Creative Commons Attribution 4.0 International
High Resolution Settlement Layer: Men,https://code.earthengine.google.com/?scriptPath=users/sat-io/awesome-gee-catalog-examples:population-socioeconomics/FACEBOOK-HRSL-30m,image_collection,projects/sat-io/open-datasets/hrsl/hrsl_men,"Center for International Earth Science Information Network(CIESIN), Facebook","High Resolution Settlement Layer, Facebook, population, CIESIN, humanitarian",Creative Commons Attribution 4.0 International
High Resolution Settlement Layer: Overall Population,https://code.earthengine.google.com/?scriptPath=users/sat-io/awesome-gee-catalog-examples:population-socioeconomics/FACEBOOK-HRSL-30m,image_collection,projects/sat-io/open-datasets/hrsl/hrslpop,"Center for International Earth Science Information Network(CIESIN), Facebook","High Resolution Settlement Layer, Facebook, population, CIESIN, humanitarian",Creative Commons Attribution 4.0 International
High Resolution Settlement Layer: Women,https://code.earthengine.google.com/?scriptPath=users/sat-io/awesome-gee-catalog-examples:population-socioeconomics/FACEBOOK-HRSL-30m,image_collection,projects/sat-io/open-datasets/hrsl/hrsl_women,"Center for International Earth Science Information Network(CIESIN), Facebook","High Resolution Settlement Layer, Facebook, population, CIESIN, humanitarian, women",Creative Commons Attribution 4.0 International
High Resolution Settlement Layer: Women of reproductive age,https://code.earthengine.google.com/?scriptPath=users/sat-io/awesome-gee-catalog-examples:population-socioeconomics/FACEBOOK-HRSL-30m,image_collection,projects/sat-io/open-datasets/hrsl/hrsl_women_reproductive_age,"Center for International Earth Science Information Network(CIESIN), Facebook","High Resolution Settlement Layer, Facebook, population, CIESIN, humanitarian, women, reproductive",Creative Commons Attribution 4.0 International
High Resolution Settlement Layer: Youth,https://code.earthengine.google.com/?scriptPath=users/sat-io/awesome-gee-catalog-examples:population-socioeconomics/FACEBOOK-HRSL-30m,image_collection,projects/sat-io/open-datasets/hrsl/hrsl_youth,"Center for International Earth Science Information Network(CIESIN), Facebook","High Resolution Settlement Layer, Facebook, population, CIESIN, humanitarian, youth",Creative Commons Attribution 4.0 International
High Resolution Smallholder & Industrial Closed Canopy Oil Palm plantations,https://code.earthengine.google.com/?scriptPath=users/sat-io/awesome-gee-catalog-examples:regional-landuse-landcover/GLOBAL-INDUSTRIAL-SMALLHOLDER-OIL-PALM,image_collection,projects/sat-io/open-datasets/landcover/oil_palm_industrial_smallholder_2019,Adrià Descals et al 2021,"industrial, smallholder, oil palm, deep learning, global, remote sensing, Sentinel-1, Sentinel-2, convolutional neural network",Creative Commons Attribution 4.0 International
HIghly Scalable Temporal Adaptive Reflectance Fusion Model (HISTARFM) database CONUS,https://code.earthengine.google.com/?scriptPath=users/sat-io/awesome-gee-catalog-examples:analysis-ready-data/HISTARFM-V5-EXAMPLE,image_collection,projects/KalmanGFwork/GFLandsat_V1,"Álvaro Moreno-Martínez, Emma Izquierdo-Verdiguier, Jordi Muñoz-Marí and Nicolas Clinton","MODIS, Landsat, Land reflectance images, gap-filled temporal series, vegetation",Creative Commons Attribution Non Commercial 4.0 International
HIghly Scalable Temporal Adaptive Reflectance Fusion Model (HISTARFM) database V5,https://code.earthengine.google.com/?scriptPath=users/sat-io/awesome-gee-catalog-examples:analysis-ready-data/HISTARFM-V5-EXAMPLE,image_collection,projects/ee-kalman-gap-filled/assets/histarfm_v5,"Álvaro Moreno-Martínez, Emma Izquierdo-Verdiguier, Jordi Muñoz-Marí and Nicolas Clinton","MODIS, Landsat, Land reflectance images, gap-filled temporal series, vegetation",Creative Commons Attribution Non Commercial 4.0 International
High-Res water body dataset for tundra and boreal forests North America,https://code.earthengine.google.com/?scriptPath=users/sat-io/awesome-gee-catalog-examples:hydrology/HRES-INLAND-WB-NA,table,projects/sat-io/open-datasets/HYDRO/wbd_fixed_geoms,National Tibetan Plateau Data Center,"Hydrology, Boreal, Tundra, water body",Creative Commons Attribution Non Commercial 4.0 International
High-resolution annual forest land cover maps for Canada's forested ecosystems (1984-2019),https://code.earthengine.google.com/?scriptPath=users/sat-io/awesome-gee-catalog-examples:agriculture-vegetation-forestry/CA-FORESTED-ECOSYSTEM-LC,image_collection,projects/sat-io/open-datasets/CA_FOREST_LC_VLCE2,Hermosilla et al. 2022,Land cover; Classification; Machine learning; Land cover change; Landsat; Lidar; ICESat-2,Open Government Licence - Canada
High-spatial-resolution Thermal-stress Indices: AT,https://code.earthengine.google.com/?scriptPath=users/sat-io/awesome-gee-catalog-examples:weather-climate/HIGHRES-THERMAL-STRESS-INDICES,image_collection,projects/sat-io/open-datasets/HITISEA/AT,Yechao Yan; Yangyang Xu; Shuping Yue,"thermal-stress indices, south and southeast asia, heat index, humidity index, wind chill, apparent temperature",Creative Commons Attribution 4.0 International
High-spatial-resolution Thermal-stress Indices: ESI,https://code.earthengine.google.com/?scriptPath=users/sat-io/awesome-gee-catalog-examples:weather-climate/HIGHRES-THERMAL-STRESS-INDICES,image_collection,projects/sat-io/open-datasets/HITISEA/ESI,Yechao Yan; Yangyang Xu; Shuping Yue,"thermal-stress indices, south and southeast asia, heat index, humidity index, wind chill, apparent temperature",Creative Commons Attribution 4.0 International
High-spatial-resolution Thermal-stress Indices: HI,https://code.earthengine.google.com/?scriptPath=users/sat-io/awesome-gee-catalog-examples:weather-climate/HIGHRES-THERMAL-STRESS-INDICES,image_collection,projects/sat-io/open-datasets/HITISEA/HI,Yechao Yan; Yangyang Xu; Shuping Yue,"thermal-stress indices, south and southeast asia, heat index, humidity index, wind chill, apparent temperature",Creative Commons Attribution 4.0 International
High-spatial-resolution Thermal-stress Indices: Humidex,https://code.earthengine.google.com/?scriptPath=users/sat-io/awesome-gee-catalog-examples:weather-climate/HIGHRES-THERMAL-STRESS-INDICES,image_collection,projects/sat-io/open-datasets/HITISEA/Humidex,Yechao Yan; Yangyang Xu; Shuping Yue,"thermal-stress indices, south and southeast asia, heat index, humidity index, wind chill, apparent temperature",Creative Commons Attribution 4.0 International
High-spatial-resolution Thermal-stress Indices: MRT,https://code.earthengine.google.com/?scriptPath=users/sat-io/awesome-gee-catalog-examples:weather-climate/HIGHRES-THERMAL-STRESS-INDICES,image_collection,projects/sat-io/open-datasets/HITISEA/MRT,Yechao Yan; Yangyang Xu; Shuping Yue,"thermal-stress indices, south and southeast asia, heat index, humidity index, wind chill, apparent temperature",Creative Commons Attribution 4.0 International
High-spatial-resolution Thermal-stress Indices: NET,https://code.earthengine.google.com/?scriptPath=users/sat-io/awesome-gee-catalog-examples:weather-climate/HIGHRES-THERMAL-STRESS-INDICES,image_collection,projects/sat-io/open-datasets/HITISEA/NET,Yechao Yan; Yangyang Xu; Shuping Yue,"thermal-stress indices, south and southeast asia, heat index, humidity index, wind chill, apparent temperature",Creative Commons Attribution 4.0 International
High-spatial-resolution Thermal-stress Indices: UTCI,https://code.earthengine.google.com/?scriptPath=users/sat-io/awesome-gee-catalog-examples:weather-climate/HIGHRES-THERMAL-STRESS-INDICES,image_collection,projects/sat-io/open-datasets/HITISEA/UTCI,Yechao Yan; Yangyang Xu; Shuping Yue,"thermal-stress indices, south and southeast asia, heat index, humidity index, wind chill, apparent temperature",Creative Commons Attribution 4.0 International
High-spatial-resolution Thermal-stress Indices: UTCI2,https://code.earthengine.google.com/?scriptPath=users/sat-io/awesome-gee-catalog-examples:weather-climate/HIGHRES-THERMAL-STRESS-INDICES,image_collection,projects/sat-io/open-datasets/HITISEA/UTCI2,Yechao Yan; Yangyang Xu; Shuping Yue,"thermal-stress indices, south and southeast asia, heat index, humidity index, wind chill, apparent temperature",Creative Commons Attribution 4.0 International
High-spatial-resolution Thermal-stress Indices: UTCI3,https://code.earthengine.google.com/?scriptPath=users/sat-io/awesome-gee-catalog-examples:weather-climate/HIGHRES-THERMAL-STRESS-INDICES,image_collection,projects/sat-io/open-datasets/HITISEA/UTCI3,Yechao Yan; Yangyang Xu; Shuping Yue,"thermal-stress indices, south and southeast asia, heat index, humidity index, wind chill, apparent temperature",Creative Commons Attribution 4.0 International
High-spatial-resolution Thermal-stress Indices: WBGT,https://code.earthengine.google.com/?scriptPath=users/sat-io/awesome-gee-catalog-examples:weather-climate/HIGHRES-THERMAL-STRESS-INDICES,image_collection,projects/sat-io/open-datasets/HITISEA/WBGT,Yechao Yan; Yangyang Xu; Shuping Yue,"thermal-stress indices, south and southeast asia, heat index, humidity index, wind chill, apparent temperature",Creative Commons Attribution 4.0 International
High-spatial-resolution Thermal-stress Indices: WBT,https://code.earthengine.google.com/?scriptPath=users/sat-io/awesome-gee-catalog-examples:weather-climate/HIGHRES-THERMAL-STRESS-INDICES,image_collection,projects/sat-io/open-datasets/HITISEA/WBT,Yechao Yan; Yangyang Xu; Shuping Yue,"thermal-stress indices, south and southeast asia, heat index, humidity index, wind chill, apparent temperature",Creative Commons Attribution 4.0 International
High-spatial-resolution Thermal-stress Indices: WCT,https://code.earthengine.google.com/?scriptPath=users/sat-io/awesome-gee-catalog-examples:weather-climate/HIGHRES-THERMAL-STRESS-INDICES,image_collection,projects/sat-io/open-datasets/HITISEA/WCT,Yechao Yan; Yangyang Xu; Shuping Yue,"thermal-stress indices, south and southeast asia, heat index, humidity index, wind chill, apparent temperature",Creative Commons Attribution 4.0 International
Historical Disturbance (HDist) LF v2.3.0,https://code.earthengine.google.com/?scriptPath=users/sat-io/awesome-gee-catalog-examples:agriculture-vegetation-forestry/LANDFIRE-DISTURBANCE,image_collection,projects/sat-io/open-datasets/landfire/disturbance/HDIST,"U.S. Department of Agriculture's (USDA) U.S. Forest Service (USFS), U.S. Department of the Interior's Geological Survey (USGS), and The Nature Conservancy","doi, fire, landfire, nature-conservancy, usda, usgs, vegetation, wildfire",custom
Homogeneity 1km- Global Habitat Heterogeneity,https://code.earthengine.google.com/?scriptPath=users/sat-io/awesome-gee-catalog-examples:biodiversity-ecosystems-habitat/GLOBAL-HABITAT-HETEROGENEITY,image,projects/sat-io/open-datasets/global_habitat_heterogeneity/homogeneity_1km,"Domisch, S., Amatulli, G., and Jetz, W.","Homogeneity 1km, EarthEnv, Global Habitat Heterogeneity",Creative Commons Attribution Non Commercial Share Alike 4.0 International
Homogeneity 25km- Global Habitat Heterogeneity,https://code.earthengine.google.com/?scriptPath=users/sat-io/awesome-gee-catalog-examples:biodiversity-ecosystems-habitat/GLOBAL-HABITAT-HETEROGENEITY,image,projects/sat-io/open-datasets/global_habitat_heterogeneity/homogeneity_25km,"Domisch, S., Amatulli, G., and Jetz, W.","Homogeneity 25km, EarthEnv, Global Habitat Heterogeneity",Creative Commons Attribution Non Commercial Share Alike 4.0 International
Homogeneity 5km- Global Habitat Heterogeneity,https://code.earthengine.google.com/?scriptPath=users/sat-io/awesome-gee-catalog-examples:biodiversity-ecosystems-habitat/GLOBAL-HABITAT-HETEROGENEITY,image,projects/sat-io/open-datasets/global_habitat_heterogeneity/homogeneity_5km,"Domisch, S., Amatulli, G., and Jetz, W.","Homogeneity 5km, EarthEnv, Global Habitat Heterogeneity",Creative Commons Attribution Non Commercial Share Alike 4.0 International
HydroATLAS BasinAtlas : BasinATLAS_v10_lev01,https://code.earthengine.google.com/?scriptPath=users/sat-io/awesome-gee-catalog-examples:hydrology/HYDROATLAS,table,projects/earthengine-legacy/assets/projects/sat-io/open-datasets/HydroAtlas/BasinAtlas/BasinATLAS_v10_lev01,Linke et al and Lehner et al,"water,hydrology, lakes, global lake surface, discharge, depth, volume, area, hydrolakes, hydrobasins, hydrorivers",Creative Commons Attribution 4.0 International
